name,address,type
th08::AsciiManager::AsciiManager,0x402000,function
th08::AsciiManagerString::AsciiManagerString,0x402130,function
th08::PauseMenu::PauseMenu,0x402150,function
th08::RetryMenu::RetryMenu,0x402190,function
th08::AsciiManagerPopup::AsciiManagerPopup,0x4021d0,function
th08::AsciiManager::OnUpdate,0x402200,function
th08::AsciiManager::OnDrawLowPrio,0x4023d0,function
th08::AsciiManager::OnDrawHighPrio,0x402430,function
th08::AsciiManager::Reset,0x402450,function
th08::AsciiManager::InitializeVms,0x402600,function
th08::AsciiManager::RegisterChain,0x402780,function
th08::AsciiManager::AddedCallback,0x402830,function
th08::AsciiManager::DeletedCallback,0x4028c0,function
th08::AsciiManager::CutChain,0x4028f0,function
th08::AsciiManager::AddString,0x402920,function
th08::AsciiManager::AddFormatText,0x402a30,function
th08::AsciiManager::AddFormatText2,0x402a80,function
th08::AsciiManager::OnDrawLowPrioImpl,0x402b20,function
fabs,0x4031e0,function
th08::AsciiManager::CreateScorePopup,0x403200,function
th08::AsciiManager::CreatePlayerPointPopup,0x403330,function
th08::AsciiManager::CreateTimePopup,0x403460,function
th08::AsciiManager::CreateFamiliarPopup,0x403600,function
th08::PauseMenu::OnUpdatePauseMenu,0x4037b0,function
D3DXVECTOR3::D3DXVECTOR3,0x404720,function
th08::PauseMenu::OnDrawPauseMenu,0x404750,function
th08::RetryMenu::OnUpdateRetryMenu,0x404890,function
th08::Spellcard::FUN_00405260,0x405260,function
th08::PlstPlayCounts::IncrementTotalAttempts,0x405280,function
th08::RetryMenu::OnDrawRetryMenu,0x4052b0,function
th08::AsciiManager::OnDrawHighPrioImpl,0x405420,function
th08::AsciiManager::DrawPercentage,0x405e10,function
th08::ChainElem::SetCallback,0x406520,function
th08::Supervisor::IsSoftwareTexturing,0x406550,function
th08::Supervisor::IsFogDisabled,0x406580,function
th08::ZunTimer::ZunTimer,0x4065a0,function
th08::ZunTimer::Initialize,0x4065c0,function
th08::ZunTimer::operator=,0x4065f0,function
th08::ZunTimer::SetCurrent,0x406610,function
th08::ZunTimer::operator++(int),0x406640,function
th08::ZunTimer::Tick,0x406660,function
th08::ZunTimer::operator<,0x4066a0,function
th08::ZunTimer::operator>,0x4066c0,function
th08::AnmVm::IsVisible,0x4066e0,function
th08::AnmVm::ClearVisible,0x406700,function
th08::AnmVm::AnmVm,0x406720,function
th08::AnmPrefix::AnmPrefix,0x4067c0,function
`eh_vector_constructor_iterator',0x406850,function
th08::AnmLoaded::GetSprite,0x406880,function
th08::AnmLoaded::InitializeAndSetSprite,0x4068a0,function
th08::AnmVm::Initialize,0x4068e0,function
D3DXMatrixIdentity,0x406940,function
th08::AnmLoaded::SetAndExecuteScriptIdx,0x4069f0,function
th08::AnmManager::SetTextureCaptureParams,0x406a30,function
th08::SoundPlayer::FadeIn,0x406ac0,function
th08::CStreamingSound::FadeIn,0x406af0,function
th08::SoundPlayer::PartialFadeOut,0x406b40,function
th08::CStreamingSound::PartialFadeOut,0x406b70,function
th08::SoundPlayer::PartialFadeIn,0x406bb0,function
th08::CStreamingSound::PartialFadeIn,0x406be0,function
th08::SoundPlayer::Pause,0x406c30,function
th08::SoundPlayer::UnPause,0x406c50,function
th08::GameManager::GetFlag14,0x406c70,function
th08::GameManager::GetFlag3,0x406c90,function
th08::GameManager::GetFlag1,0x406cb0,function
th08::GameManager::GetFlag0,0x406cd0,function
th08::GameManager::GetYoukaiGauge,0x406cf0,function
th08::GameManager::GaugeIsExtremelyHuman,0x406d10,function
th08::GameManager::GaugeIsModeratelyHuman,0x406d40,function
th08::GameManager::GaugeIsExtremelyYoukai,0x406d70,function
th08::GameManager::GaugeIsModeratelyYoukai,0x406da0,function
th08::GameManager::GetClockTime,0x406dd0,function
th08::GameManager::AddToClockTime,0x406df0,function
th08::GameManager::SetLives,0x406e20,function
th08::GameManager::UpdateAntiTamper,0x406e50,function
th08::Rng::GetRandomU32InRange,0x406ef0,function
th08::GameManager::SetBombCount,0x406f30,function
th08::GameManager::SetPower,0x406fa0,function
th08::AsciiManager::UpdateVms,0x406fd0,function
th08::AsciiManager::SetGaugeInterrupt,0x4070b0,function
th08::AnmVm::SetInterrupt,0x407120,function
th08::AsciiManager::GetGaugeInterrupt,0x407140,function
th08::AsciiManager::ResetStrings,0x407160,function
th08::AsciiManager::SetSpaceWidth,0x407180,function
th08::Background::Background,0x4071a0,function
th08::BackgroundUnkVectors::BackgroundUnkVectors,0x4073b0,function
th08::Background::OnUpdate,0x407400,function
cosf,0x408d40,function
th08::Background::FUN_00408d60,0x408d60,function
FUN_00408fc0,0x408fc0,function
sinf,0x409060,function
D3DXVECTOR3::operator+,0x409080,function
D3DXVECTOR3::operator-,0x4090d0,function
D3DXVECTOR3::operator*,0x409120,function
th08::Background::FUN_00409160,0x409160,function
th08::Background::OnDrawHighPrio,0x409200,function
